FID_,ROADID,ROADCAT_CD,L_ADD_FROM,L_ADD_TO,R_ADD_FROM,R_ADD_TO,PRE_DIR,STR_NAME,STR_TYPE,SUF_DIR,FINT,TINT,Shape_Leng,ADD_MIN,ADD_MAX,STREET,STNAMETYPE,TRAVDIR_CD,STRLVL_CD,ROADCAT_DS,PC_UID,ID,IDENTIFIER,access,"""",","
,55395,LRD_MN,401,423,400,424,E,8TH,ST, ,2350,90,231.9670711,400,424,E 8TH ST,8TH ST,B,0,Minor local road,3669,3669,road3669,car walk,"""road3669"",","""road3669"","
,41636,LRD_MN,525,599,524,598,E,UNIVERSITY,BL, ,7000,8625,230.2258002,524,599,E UNIVERSITY BL,UNIVERSITY BL,B,0,Minor local road,5041,5041,road5041,car walk,"""road5041"",","""road5041"","
,9729,LRD_MN,883,999,884,998,E,UNIVERSITY,BL, ,12434,12435,353.0624573,883,999,E UNIVERSITY BL,UNIVERSITY BL,B,0,Minor local road,5294,5294,road5294,car walk,"""road5294"",","""road5294"","
,13170,LRD_MJ,201,299,200,298,N,4TH,AV, ,66360,2350,470.5657473,200,299,N 4TH AV,4TH AV,B,0,Major local road,5833,5833,road5833,car walk,"""road5833"",","""road5833"","
,16559,LRD_MN,901,949,900,948,N,PARK,AV, ,11963,11964,294.272075,900,949,N PARK AV,PARK AV,B,0,Minor local road,5836,5836,road5836,car walk,"""road5836"",","""road5836"","
,9758,LRD_MN,701,799,700,798,N,TYNDALL,AV, ,114499,12434,477.8724266,700,799,N TYNDALL AV,TYNDALL AV,B,0,Minor local road,6234,6234,road6234,car walk,"""road6234"",","""road6234"","
,167397,LRD_MN,1601,1699,1600,1698,E,HELEN,ST, ,123461,3858,458.1640465,1600,1699,E HELEN ST,HELEN ST,B,0,Minor local road,6531,6531,road6531,car walk,"""road6531"",","""road6531"","
,57256,LRD_MN,701,799,700,798,N,JACOBUS,AV, ,27646,39816,468.4421153,700,799,N JACOBUS AV,JACOBUS AV,B,0,Minor local road,6932,6932,road6932,car walk,"""road6932"",","""road6932"","
,23202,LRD_MN,401,423,400,422,E,4TH,ST, ,893,22819,237.5009798,400,423,E 4TH ST,4TH ST,B,0,Minor local road,7108,7108,road7108,car walk,"""road7108"",","""road7108"","
,9074,LRD_MN,325,399,324,398,E,8TH,ST, ,29585,2350,244.9033182,324,399,E 8TH ST,8TH ST,B,0,Minor local road,7347,7347,road7347,car walk,"""road7347"",","""road7347"","
,36843,LRD_MN,401,419,400,420,E,5TH,ST, ,5951,14722,240.9417361,400,420,E 5TH ST,5TH ST,B,0,Minor local road,7783,7783,road7783,car walk,"""road7783"",","""road7783"","
,2511,LRD_MJ,1,49,2,48,S,STONE,AV, ,1709,40226,313.8048809,1,49,S STONE AV,STONE AV,W,0,Major local road,8512,8512,road8512,car walk,"""road8512"",","""road8512"","
,45489,LRD_MN,801,899,800,898,N,BEAN,AV, ,7000,5245,477.7349716,800,899,N BEAN AV,BEAN AV,B,0,Minor local road,9330,9330,road9330,car walk,"""road9330"",","""road9330"","
,8703,LRD_MN,325,399,326,398,E,7TH,ST, ,2027,2028,243.635927,325,399,E 7TH ST,7TH ST,B,0,Minor local road,10834,10834,road10834,car walk,"""road10834"",","""road10834"","
,22940,LRD_MJ,801,907,800,906,N,EUCLID,AV, ,32697,32816,476.7347332,800,907,N EUCLID AV,EUCLID AV,B,0,Major local road,11945,11945,road11945,car walk,"""road11945"",","""road11945"","
,7915,LRD_MN,1101,1199,1100,1198,N,CHERRY,AV, ,12744,123461,483.8841434,1100,1199,N CHERRY AV,CHERRY AV,B,0,Minor local road,12078,12078,road12078,car walk,"""road12078"",","""road12078"","
,6334,LRD_MN,325,399,324,398,E,4TH,ST, ,10142,893,238.1029189,324,399,E 4TH ST,4TH ST,B,0,Minor local road,15981,15981,road15981,car walk,"""road15981"",","""road15981"","
,56039,LRD_MJ,701,799,700,798,N,EUCLID,AV, ,13520,32697,473.6230624,700,799,N EUCLID AV,EUCLID AV,B,0,Major local road,16391,16391,road16391,car walk,"""road16391"",","""road16391"","
,42628,LRD_MN,801,899,800,898,N,PARK,AV, ,12435,11963,476.0184146,800,899,N PARK AV,PARK AV,B,0,Minor local road,16924,16924,road16924,car walk,"""road16924"",","""road16924"","
,6372,LRD_MJ,401,423,400,422,E,6TH,ST, ,33099,32825,232.7575522,400,423,E 6TH ST,6TH ST,B,0,Major local road,20419,20419,road20419,car walk,"""road20419"",","""road20419"","
,26774,LRD_MN,701,799,700,798,N,3RD,AV, ,25813,10655,472.1557112,700,799,N 3RD AV,3RD AV,B,0,Minor local road,20807,20807,road20807,car walk,"""road20807"",","""road20807"","
,27964,LRD_MN,601,623,600,622,E,UNIVERSITY,BL, ,8625,39816,241.5680422,600,623,E UNIVERSITY BL,UNIVERSITY BL,B,0,Minor local road,21849,21849,road21849,car walk,"""road21849"",","""road21849"","
,5059,LRD_MN,801,881,800,882,E,UNIVERSITY,BL, ,32697,12434,485.5681783,800,882,E UNIVERSITY BL,UNIVERSITY BL,B,0,Minor local road,22346,22346,road22346,car walk,"""road22346"",","""road22346"","
,178285,LRD_MN,1201,1299,1200,1298,E,2ND,ST, ,138195,22788,335.4898917,1200,1299,E 2ND ST,2ND ST,B,0,Minor local road,23020,23020,road23020,car walk,"""road23020"",","""road23020"","
,45418,LRD_MN,701,799,700,798,E,UNIVERSITY,BL, ,39817,32697,480.7205337,700,799,E UNIVERSITY BL,UNIVERSITY BL,B,0,Minor local road,23030,23030,road23030,car walk,"""road23030"",","""road23030"","
,6109,LRD_MN,701,799,700,798,N,PARK,AV, ,151401,12435,474.2135324,700,799,N PARK AV,PARK AV,B,0,Minor local road,24354,24354,road24354,car walk,"""road24354"",","""road24354"","
,48080,LRD_MN,701,799,700,798,N,2ND,AV, ,4002,8625,469.4882747,700,799,N 2ND AV,2ND AV,B,0,Minor local road,24511,24511,road24511,car walk,"""road24511"",","""road24511"","
,9977,LRD_MJ,335,399,334,398,E,6TH,ST, ,39278,33099,236.8260443,334,399,E 6TH ST,6TH ST,B,0,Major local road,26082,26082,road26082,car walk,"""road26082"",","""road26082"","
,20630,LRD_MN,801,899,800,898,N,3RD,AV, ,10655,5244,486.3321217,800,899,N 3RD AV,3RD AV,B,0,Minor local road,26517,26517,road26517,car walk,"""road26517"",","""road26517"","
,2087,LRD_MJ,101,199,100,198,W,CONGRESS,ST, ,1710,34177,433.0849348,100,199,W CONGRESS ST,CONGRESS ST,W,0,Major local road,26827,26827,road26827,car walk,"""road26827"",","""road26827"","
,33223,LRD_MN,501,523,500,522,E,UNIVERSITY,BL, ,10655,7000,241.0331927,500,523,E UNIVERSITY BL,UNIVERSITY BL,B,0,Minor local road,27534,27534,road27534,car walk,"""road27534"",","""road27534"","
,31397,LRD_MJ,235,299,234,298,E,BROADWAY,BL, ,86640,7245,232.4611407,234,299,E BROADWAY BL,BROADWAY BL,W,0,Major local road,27592,27592,road27592,car walk,"""road27592"",","""road27592"","
,29644,LRD_MJ,301,399,300,398,N,4TH,AV, ,2350,2028,488.1993122,300,399,N 4TH AV,4TH AV,B,0,Major local road,28028,28028,road28028,car walk,"""road28028"",","""road28028"","
,51977,LRD_MJ,1,99,2,98,S,GRANADA,AV, ,14007,14008,396.5499598,1,99,S GRANADA AV,GRANADA AV,B,0,Major local road,28112,28112,road28112,car walk,"""road28112"",","""road28112"","
,38493,LRD_MN,1201,1349,1200,1348,N,CHERRY,AV, ,123461,9849,477.055621,1200,1349,N CHERRY AV,CHERRY AV,B,0,Minor local road,28782,28782,road28782,car walk,"""road28782"",","""road28782"","
,58718,LRD_MN,801,907,800,906,N,TYNDALL,AV, ,12434,22960,477.0424226,800,907,N TYNDALL AV,TYNDALL AV,B,0,Minor local road,30008,30008,road30008,car walk,"""road30008"",","""road30008"","
,20986,LRD_MN,701,799,700,798,N,1ST,AV, ,24956,39817,474.9639954,700,799,N 1ST AV,1ST AV,B,0,Minor local road,30115,30115,road30115,car walk,"""road30115"",","""road30115"","
,45946,LRD_MN,801,823,800,822,N,JACOBUS,AV, ,39816,14485,164.2311335,800,823,N JACOBUS AV,JACOBUS AV,B,0,Minor local road,30124,30124,road30124,car walk,"""road30124"",","""road30124"","
,29393,LRD_MN,401,499,400,498,E,UNIVERSITY,BL, ,894,10655,471.0336074,400,499,E UNIVERSITY BL,UNIVERSITY BL,B,0,Minor local road,33160,33160,road33160,car walk,"""road33160"",","""road33160"","
,149722,LRD_MN,1801,1849,1800,1848,E,MABEL,ST, ,103337,103320,245.293246,1800,1849,E MABEL ST,MABEL ST,B,0,Minor local road,33438,33438,road33438,car walk,"""road33438"",","""road33438"","
,27294,LRD_MN,1537,1599,1536,1598,E,HELEN,ST, ,37043,123461,236.1771052,1536,1599,E HELEN ST,HELEN ST,B,0,Minor local road,34371,34371,road34371,car walk,"""road34371"",","""road34371"","
,14967,LRD_MN,701,799,700,798,N,BEAN,AV, ,4001,7000,473.7713716,700,799,N BEAN AV,BEAN AV,B,0,Minor local road,37317,37317,road37317,car walk,"""road37317"",","""road37317"","
,44008,LRD_MN,801,899,800,898,N,1ST,AV, ,39817,36942,477.122376,800,899,N 1ST AV,1ST AV,B,0,Minor local road,38195,38195,road38195,car walk,"""road38195"",","""road38195"","
,56929,LRD_MN,1201,1299,1200,1298,N,MARTIN,AV, ,3859,103337,472.2726126,1200,1299,N MARTIN AV,MARTIN AV,B,0,Minor local road,39120,39120,road39120,car walk,"""road39120"",","""road39120"","
,60309,LRD_MN,1301,1399,1300,1398,N,MARTIN,AV, ,103337,36209,201.7746264,1300,1399,N MARTIN AV,MARTIN AV,B,0,Minor local road,39121,39121,road39121,car walk,"""road39121"",","""road39121"","
,12505,LRD_MJ,401,499,400,498,N,4TH,AV, ,2028,33099,466.2229368,400,499,N 4TH AV,4TH AV,B,0,Major local road,39343,39343,road39343,car walk,"""road39343"",","""road39343"","
,37761,LRD_MN,401,423,400,424,E,7TH,ST, ,2028,22345,231.2606445,400,424,E 7TH ST,7TH ST,B,0,Minor local road,39745,39745,road39745,car walk,"""road39745"",","""road39745"","
,59266,LRD_MN,1701,1799,1700,1798,E,HELEN,ST, ,3858,3859,461.6531768,1700,1799,E HELEN ST,HELEN ST,B,0,Minor local road,39987,39987,road39987,car walk,"""road39987"",","""road39987"","
,10627,LRD_MN,801,823,800,822,N,2ND,AV, ,8625,20937,160.8287317,800,823,N 2ND AV,2ND AV,B,0,Minor local road,40596,40596,road40596,car walk,"""road40596"",","""road40596"","
,5411,LRD_MN,321,399,320,398,E,5TH,ST, ,7094,5951,235.0998582,320,399,E 5TH ST,5TH ST,B,0,Minor local road,41347,41347,road41347,car walk,"""road41347"",","""road41347"","
,31845,LRD_MJ,601,699,600,698,N,4TH,AV, ,5951,893,481.7016048,600,699,N 4TH AV,4TH AV,B,0,Major local road,45017,45017,road45017,car walk,"""road45017"",","""road45017"","
,24923,LRD_MJ,701,799,700,798,N,4TH,AV, ,893,894,473.8207581,700,799,N 4TH AV,4TH AV,B,0,Major local road,45018,45018,road45018,car walk,"""road45018"",","""road45018"","
,34261,LRD_MJ,501,599,500,598,N,4TH,AV, ,33099,5951,472.8714136,500,599,N 4TH AV,4TH AV,B,0,Major local road,45019,45019,road45019,car walk,"""road45019"",","""road45019"","
,48605,FRNT_RD,101,121,0,0,S,FREEWAY, , ,13847,192385,1087.316638,0,121,S FREEWAY,FREEWAY,A,0,Frontage road,48896,48896,road48896,car walk,"""road48896"",","""road48896"","
,68746,RMP_INT,0,0,0,0,W,I10 EXIT 258 OFF RAMP, , ,31882,13847,1067.137157,0,0,W I10 EXIT 258 OFF RAMP,I10 EXIT 258 OFF RAMP,W,0,Interstate ramp,53765,53765,road53765,car walk,"""road53765"",","""road53765"","
,135916,LRD_MJ,25,199,24,198,N,4TH,AV, ,86646,66360,625.7931891,24,199,N 4TH AV,4TH AV,B,-1,Major local road,54107,54107,road54107,car walk,"""road54107"",","""road54107"","
,42198,LRD_MJ,1,99,2,98,S,CHURCH,AV, ,1710,26010,267.8866384,1,99,S CHURCH AV,CHURCH AV,B,0,Major local road,54175,54175,road54175,car walk,"""road54175"",","""road54175"","
,119167,LRD_MN,1,99,2,98,S,ARIZONA,AV, ,66393,65738,317.5564396,1,99,S ARIZONA AV,ARIZONA AV,B,0,Minor local road,54179,54179,road54179,car walk,"""road54179"",","""road54179"","
,119166,LRD_MJ,257,299,258,298,E,CONGRESS,ST, ,66393,15553,237.8139157,257,299,E CONGRESS ST,CONGRESS ST,A,0,Major local road,54180,54180,road54180,car walk,"""road54180"",","""road54180"","
,40709,LRD_MN,1,99,2,98,S,5TH,AV, ,15553,37282,323.0233962,1,99,S 5TH AV,5TH AV,B,0,Minor local road,54182,54182,road54182,car walk,"""road54182"",","""road54182"","
,60917,LRD_MJ,1551,1599,1550,1598,E,SPEEDWAY,BL, ,12743,12744,267.8691328,1550,1599,E SPEEDWAY BL,SPEEDWAY BL,B,0,Major local road,54352,54352,road54352,car walk,"""road54352"",","""road54352"","
,40209,LRD_MJ,1601,1699,1600,1700,E,SPEEDWAY,BL, ,12744,43435,416.59935,1600,1700,E SPEEDWAY BL,SPEEDWAY BL,B,0,Major local road,54353,54353,road54353,car walk,"""road54353"",","""road54353"","
,35940,LRD_MN,1123,1199,1124,1198,N,WARREN,AV, ,43435,3858,478.564383,1123,1199,N WARREN AV,WARREN AV,B,0,Minor local road,54354,54354,road54354,car walk,"""road54354"",","""road54354"","
,38343,LRD_MJ,101,599,100,598,S,GRANADA,AV, ,14008,235366,1241.308505,100,599,S GRANADA AV,GRANADA AV,B,0,Major local road,54553,54553,road54553,car walk,"""road54553"",","""road54553"","
,10578,LRD_MJ,201,299,0,0,W,CONGRESS,ST, ,19990,19991,408.4859936,0,299,W CONGRESS ST,CONGRESS ST,A,0,Major local road,55323,55323,road55323,car walk,"""road55323"",","""road55323"","
,135919,LRD_MJ,301,399,300,398,E,CONGRESS,ST, ,15553,86308,244.3909074,300,399,E CONGRESS ST,CONGRESS ST,A,0,Major local road,55331,55331,road55331,car walk,"""road55331"",","""road55331"","
,25648,LRD_MJ,101,125,100,124,E,BROADWAY,BL, ,15673,65738,239.6803479,100,125,E BROADWAY BL,BROADWAY BL,W,0,Major local road,55335,55335,road55335,car walk,"""road55335"",","""road55335"","
,54529,LRD_MJ,127,199,126,198,E,BROADWAY,BL, ,65738,37282,234.0980022,126,199,E BROADWAY BL,BROADWAY BL,W,0,Major local road,55336,55336,road55336,car walk,"""road55336"",","""road55336"","
,135920,LRD_MJ,0,0,0,0,E,CONGRESS,ST, ,86308,86646,47.41348206,0,0,E CONGRESS ST,CONGRESS ST,A,0,Major local road,55339,55339,road55339,car walk,"""road55339"",","""road55339"","
,41969,LRD_MJ,1,99,2,98,W,BROADWAY,BL, ,40226,26010,401.144043,1,99,W BROADWAY BL,BROADWAY BL,A,0,Major local road,55348,55348,road55348,car walk,"""road55348"",","""road55348"","
,14823,LRD_MJ,1,59,2,60,E,BROADWAY,BL, ,40226,18645,431.6374726,1,60,E BROADWAY BL,BROADWAY BL,W,0,Major local road,55375,55375,road55375,car walk,"""road55375"",","""road55375"","
,10008,LRD_MJ,601,649,600,648,W,CUSHING,ST, ,32912,192385,177.6760391,600,649,W CUSHING ST,CUSHING ST,B,0,Major local road,55389,55389,road55389,car walk,"""road55389"",","""road55389"","
,38877,LRD_MJ,651,723,650,722,W,CUSHING,ST, ,192385,192386,363.5697959,650,723,W CUSHING ST,CUSHING ST,B,0,Major local road,55390,55390,road55390,car walk,"""road55390"",","""road55390"","
,30125,LRD_MJ,301,399,300,398,E,BROADWAY,BL, ,7245,3682,418.6999878,300,399,E BROADWAY BL,BROADWAY BL,W,0,Major local road,55395,55395,road55395,car walk,"""road55395"",","""road55395"","
,18189,LRD_MJ,101,199,100,198,W,BROADWAY,BL, ,26010,19990,434.8455005,100,199,W BROADWAY BL,BROADWAY BL,A,0,Major local road,55399,55399,road55399,car walk,"""road55399"",","""road55399"","
,44330,LRD_MJ,201,233,200,232,E,BROADWAY,BL, ,37282,86640,245.0577243,200,233,E BROADWAY BL,BROADWAY BL,W,0,Major local road,55401,55401,road55401,car walk,"""road55401"",","""road55401"","
,135918,LRD_MN,1,99,2,98,S,HERBERT,AV, ,235602,86640,298.2521108,1,99,S HERBERT AV,HERBERT AV,B,0,Minor local road,55402,55402,road55402,car walk,"""road55402"",","""road55402"","
,14880,LRD_MJ,517,649,516,648,E,TOOLE,AV, ,3681,3682,318.4578176,516,649,E TOOLE AV,TOOLE AV,A,0,Major local road,55403,55403,road55403,car walk,"""road55403"",","""road55403"","
,21,LRD_MJ,301,399,300,398,W,CONGRESS,ST, ,19991,14007,315.0843804,300,399,W CONGRESS ST,CONGRESS ST,B,0,Major local road,55405,55405,road55405,car walk,"""road55405"",","""road55405"","
,113712,LRD_MJ,0,0,200,298,W,CONGRESS,ST, ,34177,19991,415.6253762,0,298,W CONGRESS ST,CONGRESS ST,W,0,Major local road,55406,55406,road55406,car walk,"""road55406"",","""road55406"","
,14641,LRD_MJ,75,199,74,198,E,CONGRESS,ST, ,44175,66359,369.6693425,74,199,E CONGRESS ST,CONGRESS ST,A,0,Major local road,55407,55407,road55407,car walk,"""road55407"",","""road55407"","
,28549,LRD_MN,1,99,2,98,S,SCOTT,AV, ,44175,18645,291.7552452,1,99,S SCOTT AV,SCOTT AV,B,0,Minor local road,55408,55408,road55408,car walk,"""road55408"",","""road55408"","
,119165,LRD_MJ,201,255,200,256,E,CONGRESS,ST, ,66359,66393,236.3288036,200,256,E CONGRESS ST,CONGRESS ST,A,0,Major local road,55409,55409,road55409,car walk,"""road55409"",","""road55409"","
,1879,LRD_MJ,1,99,2,98,S,6TH,AV, ,66359,15673,302.5424512,1,99,S 6TH AV,6TH AV,A,0,Major local road,55410,55410,road55410,car walk,"""road55410"",","""road55410"","
,61788,LRD_MN,875,949,874,948,N,MOUNTAIN,AV, ,3968,22788,215.8445637,874,949,N MOUNTAIN AV,MOUNTAIN AV,B,0,Minor local road,55474,55474,road55474,car walk,"""road55474"",","""road55474"","
,37079,LRD_MN,1051,1099,1050,1098,N,CHERRY,AV, ,29657,12744,411.736166,1050,1099,N CHERRY AV,CHERRY AV,B,0,Minor local road,55503,55503,road55503,car walk,"""road55503"",","""road55503"","
,18612,LRD_MN,1601,1699,1600,1700,E,1ST,ST, ,29657,43257,424.827474,1600,1700,E 1ST ST,1ST ST,A,0,Minor local road,55504,55504,road55504,car walk,"""road55504"",","""road55504"","
,46514,LRD_MN,1509,1599,1508,1598,E,1ST,ST, ,30622,29657,399.931431,1508,1599,E 1ST ST,1ST ST,A,0,Minor local road,55506,55506,road55506,car walk,"""road55506"",","""road55506"","
,25096,LRD_MN,951,1049,950,1048,N,CHERRY,AV, ,14701,29657,386.9062137,950,1049,N CHERRY AV,CHERRY AV,B,0,Minor local road,55507,55507,road55507,car walk,"""road55507"",","""road55507"","
,1076,LRD_MN,1521,1599,1520,1598,E,2ND,ST, ,30311,14701,394.1096062,1520,1599,E 2ND ST,2ND ST,W,0,Minor local road,55508,55508,road55508,car walk,"""road55508"",","""road55508"","
,16745,LRD_MN,851,949,850,948,N,CHERRY,AV, ,22176,14701,369.1300874,850,949,N CHERRY AV,CHERRY AV,B,0,Minor local road,55509,55509,road55509,car walk,"""road55509"",","""road55509"","
,10427,LRD_MN,1001,1049,1000,1048,N,VINE,AV, ,30311,30622,386.353942,1000,1049,N VINE AV,VINE AV,B,0,Minor local road,55656,55656,road55656,car walk,"""road55656"",","""road55656"","
,54118,LRD_MN,951,1049,950,1048,N,MOUNTAIN,AV, ,22788,13264,392.1243624,950,1049,N MOUNTAIN AV,MOUNTAIN AV,B,0,Minor local road,55657,55657,road55657,car walk,"""road55657"",","""road55657"","
,58479,LRD_MJ,1,73,2,72,E,CONGRESS,ST, ,1709,44175,449.3305089,1,73,E CONGRESS ST,CONGRESS ST,A,0,Major local road,55760,55760,road55760,car walk,"""road55760"",","""road55760"","
,373311,LRD_MN,1001,1099,1000,1098,E,2ND,ST, ,11964,240990,531.1568386,1000,1099,E 2ND ST,2ND ST,B,0,Minor local road,55805,55805,road55805,car walk,"""road55805"",","""road55805"","
,373312,LRD_MN,1101,1199,1100,1198,E,2ND,ST, ,240990,138195,515.1248596,1100,1199,E 2ND ST,2ND ST,B,0,Minor local road,55806,55806,road55806,car walk,"""road55806"",","""road55806"","
,34841,LRD_MJ,301,349,300,348,N,TOOLE,AV, ,3681,86646,476.3990506,300,349,N TOOLE AV,TOOLE AV,W,0,Major local road,56470,56470,road56470,car walk,"""road56470"",","""road56470"","
,19965,LRD_MN,625,699,624,698,E,UNIVERSITY,BL, ,39816,39817,233.19927,624,699,E UNIVERSITY BL,UNIVERSITY BL,B,0,Minor local road,56665,56665,road56665,car walk,"""road56665"",","""road56665"","
,29049,LRD_MJ,1,99,2,98,W,CONGRESS,ST, ,1709,1710,346.6355008,1,99,W CONGRESS ST,CONGRESS ST,W,0,Major local road,56816,56816,road56816,car walk,"""road56816"",","""road56816"","
,61616,LRD_MJ,501,599,500,598,W,CUSHING,ST, ,235366,32912,236.9300648,500,599,W CUSHING ST,CUSHING ST,B,0,Major local road,57377,57377,road57377,car walk,"""road57377"",","""road57377"","
,381800,LRD_MJ,61,99,62,98,E,BROADWAY,BL, ,18645,15673,352.2239001,61,99,E BROADWAY BL,BROADWAY BL,W,0,Major local road,58326,58326,road58326,car walk,"""road58326"",","""road58326"","
,382202,LRD_MN,1301,1519,1300,1518,E,2ND,ST, ,22788,30311,896.533649,1300,1519,E 2ND ST,2ND ST,W,0,Minor local road,58353,58353,road58353,car walk,"""road58353"",","""road58353"","
,,,,,,,,,,,,,,,,,,,,,,,,,,"""road3669"",""road5041"",""road5294"",""road5833"",""road5836"",""road6234"",""road6531"",""road6932"",""road7108"",""road7347"",""road7783"",""road8512"",""road9330"",""road10834"",""road11945"",""road12078"",""road15981"",""road16391"",""road16924"",""road20419"",""road20807"",""road22346"",""road21849"",""road23020"",""road23030"",""road24354"",""road24511"",""road26517"",""road26082"",""road26827"",""road27534"",""road27592"",""road28028"",""road28112"",""road28782"",""road30008"",""road30115"",""road30124"",""road33160"",""road33438"",""road34371"",""road37317"",""road38195"",""road39120"",""road39121"",""road39343"",""road39745"",""road39987"",""road40596"",""road41347"",""road45017"",""road45018"",""road45019"",""road48896"",""road53765"",""road54107"",""road54175"",""road54179"",""road54180"",""road54182"",""road54352"",""road54353"",""road54354"",""road54553"",""road55323"",""road55331"",""road55335"",""road55336"",""road55339"",""road55348"",""road55375"",""road55389"",""road55390"",""road55395"",""road55399"",""road55401"",""road55402"",""road55403"",""road55405"",""road55406"",""road55407"",""road55408"",""road55409"",""road55410"",""road55474"",""road55503"",""road55504"",""road55506"",""road55507"",""road55508"",""road55509"",""road55656"",""road55657"",""road55760"",""road55805"",""road55806"",""road56470"",""road56665"",""road56816"",""road57377"",""road58326"",""road58353"","
